Date,Sessions,Cost,Transactions,AOV
2019-09-02,473,0,0,0
2019-09-03,682,0,0,0
2019-09-04,598,0,0,0
2019-09-05,577,0,0,0
2019-09-06,411,0,0,0
2019-09-07,427,0,0,0
2019-09-08,441,0,1,547.39
2019-09-09,430,0,0,0
2019-09-10,411,0,0,0
2019-09-11,484,0,1,237.99
2019-09-12,450,0,1,48.5
2019-09-13,298,0,1,59.04
2019-09-14,276,0,0,0
2019-09-15,298,0,0,0
2019-09-16,360,0,1,380.8
2019-09-17,375,0,3,274.1266667
2019-09-18,451,0,2,65.685
2019-09-19,514,0,2,56.775
2019-09-20,498,0,0,0
2019-09-21,540,0,2,42.815
2019-09-22,633,0,1,14.97
2019-09-23,622,0,0,0
2019-09-24,700,0,9,114.2166667
2019-09-25,687,0,1,166.59
2019-09-26,636,0,0,0
2019-09-27,853,0,1,53.55
2019-09-28,1184,0,3,19.42
2019-09-29,1376,0,14,86.265
2019-09-30,1522,0,3,117.7466667
2019-10-01,1599,0,15,39.52533333
2019-10-02,1707,0,9,91.04222222
2019-10-03,1671,0,9,115.1666667
2019-10-04,1964,0,8,135.32625
2019-10-05,257,0,2,19.99
2019-10-06,716,0,4,186.91
2019-10-07,791,0,0,0
2019-10-08,805,0,2,56.535
2019-10-09,811,0,1,249.89
2019-10-10,800,0,5,27.77
2019-10-11,761,0,2,77.465
2019-10-12,641,0,6,106.3033333
2019-10-13,677,0,3,103.5166667
2019-10-14,811,0,9,119.2266667
2019-10-15,807,0,4,119.845
2019-10-16,766,0,3,105.19
2019-10-17,756,0,5,159.574
2019-10-18,690,0,4,228.63
2019-10-19,735,0,3,90.56
2019-10-20,760,0,1,237.99
2019-10-21,794,0,3,361.2633333
2019-10-22,719,0,2,117.725
2019-10-23,701,0,5,321.616
2019-10-24,572,0,9,221.6855556
2019-10-25,571,0,3,210.5266667
2019-10-26,711,0,2,214.195
2019-10-27,979,0,4,320.9575
2019-10-28,946,0,5,274.882
2019-10-29,854,0,7,458.1742857
2019-10-30,826,0,9,542.0022222
2019-10-31,690,0,7,204.4571429
